"hour_of_day","member_casual","count"
0,"casual","36709"
0,"member","35506"
1,"casual","23778"
1,"member","21145"
2,"casual","14361"
2,"member","12256"
3,"casual","7882"
3,"member","7925"
4,"casual","5922"
4,"member","8778"
5,"casual","11401"
5,"member","34131"
6,"casual","30088"
6,"member","105282"
7,"casual","52925"
7,"member","194535"
8,"casual","70563"
8,"member","244117"
9,"casual","69818"
9,"member","164834"
10,"casual","86395"
10,"member","148781"
11,"casual","110229"
11,"member","176288"
12,"casual","130452"
12,"member","199853"
13,"casual","136278"
13,"member","198614"
14,"casual","142343"
14,"member","201807"
15,"casual","158803"
15,"member","246626"
16,"casual","182033"
16,"member","331466"
17,"casual","198816"
17,"member","387755"
18,"casual","171677"
18,"member","307629"
19,"casual","126879"
19,"member","217845"
20,"casual","91654"
20,"member","151590"
21,"casual","77098"
21,"member","117708"
22,"casual","68158"
22,"member","87964"
23,"casual","49096"
23,"member","56397"
