"trip_month","member_casual","count"
1,"casual","39917"
1,"member","150258"
2,"casual","42930"
2,"member","147397"
3,"casual","62067"
3,"member","196432"
4,"casual","146974"
4,"member","279241"
5,"casual","233670"
5,"member","370484"
6,"casual","300517"
6,"member","418249"
7,"casual","330334"
7,"member","436039"
8,"casual","310040"
8,"member","460240"
9,"casual","260819"
9,"member","404473"
10,"casual","176540"
10,"member","359802"
11,"casual","98072"
11,"member","263940"
12,"casual","51478"
12,"member","172277"
