"start_station_name","lat","lng","member_casual","total_trips"
"Streeter Dr & Grand Ave","41.8922775553049020","-87.6120694839390633","casual","45818"
"DuSable Lake Shore Dr & Monroe St","41.8809884982492503","-87.6167709805437111","casual","30347"
"Clinton St & Washington Blvd","41.8833900784656489","-87.6412454151267176","member","26200"
"Kingsbury St & Kinzie St","41.8891822660847957","-87.6385113734690523","member","26157"
"Clark St & Elm St","41.9029157695182266","-87.6313996334276339","member","24991"
"Michigan Ave & Oak St","41.9009658707537066","-87.6237624993781810","casual","22595"
"Wells St & Concord Ln","41.9120856226910144","-87.6347334507257613","member","21412"
"Clinton St & Madison St","41.8825812968993152","-87.6412078387056195","member","20589"
"Wells St & Elm St","41.9031749078920775","-87.6344474302055433","member","20385"
"DuSable Lake Shore Dr & North Blvd","41.9117245154016757","-87.6268175159674717","casual","20290"
"Millennium Park","41.8810713144425642","-87.6240954211024288","casual","20092"
"University Ave & 57th St","41.7914870981526786","-87.5998838100579160","member","20029"
"Broadway & Barry Ave","41.9376047433389616","-87.6441032404812157","member","18952"
"Loomis St & Lexington St","41.8722311107854345","-87.6613649471885255","member","18894"
"State St & Chicago Ave","41.8966231634372294","-87.6286209614642857","member","18480"
"Ellis Ave & 60th St","41.7851038502841253","-87.6010806129772590","member","18161"
"Shedd Aquarium","41.8672378787294065","-87.6154267775744753","casual","17724"
"Canal St & Adams St","41.8793200028546170","-87.6399632899555125","member","17533"
"Streeter Dr & Grand Ave","41.8922796554416550","-87.6120765082688285","member","17208"
"Wells St & Huron St","41.8947379805157225","-87.6344078902899481","member","17141"
"Clinton St & Jackson Blvd","41.8783568166936667","-87.6410945519786347","member","17037"
"Larrabee St & Kingsbury St","41.8977050907976037","-87.6430167064894867","member","17026"
"Morgan St & Polk St","41.8718608709889460","-87.6510276463031270","member","16917"
"State St & 33rd St","41.8347384560870342","-87.6258075709572568","member","16798"
"Wilton Ave & Belmont Ave","41.9401748041631824","-87.6529587492378449","member","16742"
"Sheffield Ave & Fullerton Ave","41.9255896846550385","-87.6537052294068455","member","16741"
"Dearborn St & Erie St","41.8940387282600359","-87.6293266834134212","member","16690"
"Theater on the Lake","41.9262379656199056","-87.6308840548336091","casual","16317"
"Desplaines St & Kinzie St","41.8886738482080169","-87.6444427052209635","member","16066"
"Wells St & Hubbard St","41.8899559316605396","-87.6343131138114524","member","16049"
"DuSable Lake Shore Dr & North Blvd","41.9116967632517774","-87.6268194390546340","member","15613"
"Wabash Ave & Grand Ave","41.8914475511499677","-87.6267729165158371","member","15470"
"Dusable Harbor","41.8869710004769011","-87.6128247648267584","casual","15412"
"Clark St & Armitage Ave","41.9182846061337758","-87.6363066348396122","member","15369"
"Broadway & Waveland Ave","41.9490563408962048","-87.6486253635051277","member","15309"
"Kingsbury St & Erie St","41.8938203860576169","-87.6417510919421218","member","15308"
"St. Clair St & Erie St","41.8943418829834435","-87.6228027215391663","member","15281"
"Clark St & Wrightwood Ave","41.9295389746463576","-87.6431407356874172","member","15100"
"Halsted St & Polk St","41.8718310369349349","-87.6466396108468468","member","14985"
"Halsted St & Clybourn Ave","41.9096345359933244","-87.6481339924819760","member","14980"
"Ashland Ave & Division St","41.9033852341070583","-87.6678099619219057","member","14777"
"Michigan Ave & Oak St","41.9009701463481275","-87.6237684940352070","member","14713"
"Orleans St & Merchandise Mart Plaza","41.8880896431752324","-87.6366507235326681","member","14632"
"Green St & Madison St","41.8818715188152665","-87.6492226215794162","member","14594"
"Dearborn Pkwy & Delaware Pl","41.8989522392974640","-87.6299256487971213","member","14590"
"Lincoln Ave & Fullerton Ave","41.9241561262670243","-87.6463720975828862","member","14538"
"Indiana Ave & Roosevelt Rd","41.8679080497643167","-87.6230436440645028","member","14511"
"Clark St & Lincoln Ave","41.9157066809224405","-87.6346165263040331","member","14505"
