"start_station_name","lat","lng","total_trips"
"Streeter Dr & Grand Ave","41.8922781287056136","-87.6120714017930695","63026"
"DuSable Lake Shore Dr & Monroe St","41.8809851415791440","-87.6167659829888894","40142"
"Michigan Ave & Oak St","41.9009675569020049","-87.6237648634660127","37308"
"DuSable Lake Shore Dr & North Blvd","41.9117124469306186","-87.6268183522530151","35903"
"Clark St & Elm St","41.9029074598009839","-87.6314070372422853","35776"
"Kingsbury St & Kinzie St","41.8891825298849160","-87.6385078066977756","34931"
"Wells St & Concord Ln","41.9120864729416322","-87.6347391356463963","33563"
"Clinton St & Washington Blvd","41.8833889468862642","-87.6412490815559499","32681"
"Wells St & Elm St","41.9031704836457030","-87.6344474149371090","30370"
"Theater on the Lake","41.9262519492813593","-87.6308811232633683","30015"
"Millennium Park","41.8810785700663112","-87.6241080055391536","30010"
"Broadway & Barry Ave","41.9376061726937944","-87.6441011253875887","28458"
"Wilton Ave & Belmont Ave","41.9401635984567315","-87.6529636813272913","27364"
"Clinton St & Madison St","41.8825711834884415","-87.6412018032457122","26820"
"University Ave & 57th St","41.7914862553240949","-87.5998837417124831","26628"
"Clark St & Armitage Ave","41.9182881636445738","-87.6363082073779474","26464"
"Indiana Ave & Roosevelt Rd","41.8679114163037249","-87.6230421893956065","26175"
"State St & Chicago Ave","41.8966271574768096","-87.6286219627715894","25765"
"Clark St & Lincoln Ave","41.9157050543069463","-87.6346127467858551","25366"
"Wabash Ave & Grand Ave","41.8914463655643753","-87.6267678689391173","25196"
"Ellis Ave & 60th St","41.7851036960114390","-87.6010807198033920","25177"
"Sheffield Ave & Fullerton Ave","41.9255929001438620","-87.6537059268449708","25163"
"Wells St & Huron St","41.8947387008286125","-87.6344056421722652","25066"
"Dearborn St & Erie St","41.8940430033251884","-87.6293234046811066","24146"
"Clark St & Wrightwood Ave","41.9295468917323801","-87.6431406071114307","23638"
"Wells St & Hubbard St","41.8899557692106938","-87.6343060265817950","23565"
"Desplaines St & Kinzie St","41.8886687352218063","-87.6444387547958349","23241"
"Canal St & Adams St","41.8793236701508993","-87.6399640461540125","23128"
"LaSalle St & Illinois St","41.8907906451355251","-87.6317052363456326","22874"
"Shedd Aquarium","41.8672381364736657","-87.6154304312613207","22746"
"Michigan Ave & Washington St","41.8839724358146796","-87.6245902501992172","22739"
"Clinton St & Jackson Blvd","41.8783580001040468","-87.6411019829571416","22586"
"Lincoln Ave & Fullerton Ave","41.9241592892626955","-87.6463736296329165","22311"
"Broadway & Waveland Ave","41.9490555792231085","-87.6486253172592492","22191"
"Clark St & Newport St","41.9445116298123921","-87.6547170927096393","22014"
"Ashland Ave & Division St","41.9033781793332727","-87.6678113712693724","22003"
"Larrabee St & Kingsbury St","41.8977065382989265","-87.6430235550646848","21798"
"Loomis St & Lexington St","41.8722294843157508","-87.6613654101730707","21783"
"DuSable Lake Shore Dr & Diversey Pkwy","41.9325699371510472","-87.6364326522284895","21629"
"St. Clair St & Erie St","41.8943377462484380","-87.6228007298620817","21607"
"Halsted St & Clybourn Ave","41.9096320638550576","-87.6481302358404611","21512"
"McClurg Ct & Ohio St","41.8926012811304429","-87.6173081313132676","21496"
"Michigan Ave & Lake St","41.8859874832552726","-87.6244410670240700","21479"
"Dusable Harbor","41.8869682151234914","-87.6128307622803817","21378"
"Pine Grove Ave & Waveland Ave","41.9494053738299967","-87.6464573307178021","21329"
"Dearborn Pkwy & Delaware Pl","41.8989531150563068","-87.6299206408467229","21223"
"Broadway & Cornelia Ave","41.9455096919116394","-87.6464640980272753","21118"
"Clark St & Drummond Pl","41.9312354614868346","-87.6443094072013929","20964"
"DuSable Lake Shore Dr & Belmont Ave","41.9407586366467066","-87.6391889495602395","20875"
"Halsted St & Roscoe St","41.9436578587428571","-87.6489385330487395","20825"
"Larrabee St & Webster Ave","41.9218049914824447","-87.6440957071690026","20763"
"New St & Illinois St","41.8908083156444058","-87.6185455600424936","20709"
"Wabash Ave & Roosevelt Rd","41.8672091083157334","-87.6259726861155784","20644"
"Columbus Dr & Randolph St","41.8846441896919617","-87.6195491052102484","20452"
"Orleans St & Merchandise Mart Plaza","41.8880890576422484","-87.6366597917611705","20299"
"Green St & Madison St","41.8818695398778981","-87.6492186029610955","20229"
"Sheffield Ave & Waveland Ave","41.9493034797372465","-87.6544833855589708","20171"
"Damen Ave & Pierce Ave","41.9093914487040801","-87.6776841430608299","20171"
"Lakeview Ave & Fullerton Pkwy","41.9258722191179982","-87.6389709645756641","20102"
"Montrose Harbor","41.9639593628918421","-87.6381947397914489","20091"
